symbol,instrument_token,name,generated_date
NAZARA,764673,NAZARA TECHNOLOGIES,2026-06-26
SANDESH,764929,SANDESH,2026-06-26
SUVIDHAA,767489,SUVIDHAA INFOSERVE,2026-06-26
BSE500IETF,768257,ICICI PRUDENTIAL BSE 500 ETF,2026-06-26
WONDERLA,768513,WONDERLA HOLIDAYS,2026-06-26
KOHINOOR,770305,KOHINOOR FOODS,2026-06-26
AXISTECETF,770561,AXIS NIFTY IT ETF,2026-06-26
SAURASHCEM,772609,SAURASHTRA CEMENT,2026-06-26
SOTL,773377,SAVITA OIL TECHNOLO.,2026-06-26
JINDALSAW,774145,JINDAL SAW,2026-06-26
SBIN,779521,STATE BANK OF INDIA,2026-06-26
SCI,780289,SHIPPING CORP OF INDIA LT,2026-06-26
VEDL,784129,VEDANTA,2026-06-26
SESHAPAPER,784897,SESHASAYEE PAPER & BOARDS,2026-06-26
SHANTIGEAR,787969,SHANTHI GEARS,2026-06-26
INDOSTAR,790529,INDOSTAR CAPITAL FIN,2026-06-26
SHREDIGCEM,793345,SHREE DIGVIJAY CEM CO,2026-06-26
SHREECEM,794369,SHREE CEMENT,2026-06-26
SHREYANIND,800257,SHREYANS INDUSTRIES,2026-06-26
UFBL,800513,UNITED FOODBRANDS,2026-06-26
HONDAPOWER,803329,HONDA I POWER PRODUCT,2026-06-26
BORORENEW,806145,BOROSIL RENEWABLES,2026-06-26
SIEMENS,806401,SIEMENS,2026-06-26
SIMPLEXINF,809473,SIMPLEX INFRASTRUCTURES L,2026-06-26
GILT5YBEES,812033,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK G-SEC,2026-06-26
SKFINDIA,815617,SKF INDIA,2026-06-26
LODHA,824321,LODHA DEVELOPERS,2026-06-26
JTEKTINDIA,828673,JTEKT INDIA,2026-06-26
NITIRAJ,831233,NITIRAJ ENGINEERS,2026-06-26
SPIC,832513,SPIC,2026-06-26
SRF,837889,SRF,2026-06-26
TEMBO,838401,TEMBO GLOBAL IND,2026-06-26
STARPAPER,842497,STAR PAPER MILLS,2026-06-26
DEEPINDS,842753,DEEP INDUSTRIES,2026-06-26
SPMLINFRA,850177,SPML INFRA,2026-06-26
SUBROS,850945,SUBROS,2026-06-26
SUDARSCHEM,851713,SUDARSHAN CHEMICAL INDS L,2026-06-26
ISGEC,852225,ISGEC HEAVY ENG,2026-06-26
SUNDARMFIN,854785,SUNDARAM FINANCE,2026-06-26
SUNDRMFAST,856321,SUNDRAM FASTENERS,2026-06-26
SUNFLAG,857089,SUNFLAG IRON AND STEEL CO,2026-06-26
SUNPHARMA,857857,SUN PHARMACEUTICAL IND L,2026-06-26
SUPREMEIND,860929,SUPREME INDUSTRIES,2026-06-26
SURYAROSNI,864001,SURYA ROSHNI,2026-06-26
SWARAJENG,866305,SWARAJ ENGINES,2026-06-26
SMLMAH,867073,SML MAHINDRA,2026-06-26
AGARIND,867585,AGARWAL INDS CORP,2026-06-26
TAINWALCHM,869377,TAINWALA CHEMICAL AND PLA,2026-06-26
AJOONI,871169,AJOONI BIOTECH,2026-06-26
TATACHEM,871681,TATA CHEMICALS,2026-06-26
TATAELXSI,873217,TATA ELXSI,2026-06-26
HONAUT,874753,HONEYWELL AUTOMATION IND,2026-06-26
TATAPOWER,877057,TATA POWER CO,2026-06-26
TATACONSUM,878593,TATA CONSUMER PRODUCT,2026-06-26
BBOX,879361,BLACK BOX,2026-06-26
TECILCHEM,883969,TECIL CHEMICALS,2026-06-26
TMPV,884737,TATA MOTORS PASS VEH,2026-06-26
TFCILTD,887297,TOURISM FINANCE CORP. OF,2026-06-26
THERMAX,889601,THERMAX,2026-06-26
THOMASCOOK,891137,THOMAS COOK (INDIA),2026-06-26
CLSEL,891393,CHAMAN LAL SETIA EXP,2026-06-26
TIL,891905,TIL,2026-06-26
TIRUMALCHM,894977,THIRUMALAI CHEMICALS,2026-06-26
TATASTEEL,895745,TATA STEEL,2026-06-26
TITAN,897537,TITAN COMPANY,2026-06-26
MAFANG,897793,MIRAE ASSET NYSE FANG+ ETF,2026-06-26
TNPETRO,898305,TAMILNADU PETROPRODUCTS L,2026-06-26
TNTELE,899073,TAMILNADU TELECOMMUNICATI,2026-06-26
TORNTPHARM,900609,TORRENT PHARMACEUTICALS L,2026-06-26
TRANSPEK,903937,TRANSPEK INDUSTRY,2026-06-26
TTKPRESTIG,907777,TTK PRESTIGE,2026-06-26
ADANIGREEN,912129,ADANI GREEN ENERGY,2026-06-26
UCAL,913921,UCAL,2026-06-26
UNICHEMLAB,916225,UNICHEM LABORATORIES,2026-06-26
MOKSH,918017,MOKSH ORNAMENTS,2026-06-26
UNITECH,920065,UNITECH,2026-06-26
UNIVCABLES,923393,UNIVERSAL CABLES,2026-06-26
AXISHCETF,923649,AXIS NIFTY HEALTHCARE ETF,2026-06-26
HEALTHIETF,928257,ICICI PRUDENTIAL NIFTY HEALTHCARE ETF,2026-06-26
JUBLPHARMA,931073,JUBILANT PHARMOVA,2026-06-26
VARDMNPOLY,933377,VARDHMAN POLYTEX,2026-06-26
SOLARA,940033,SOLARA ACTIVE PHA SCI,2026-06-26
VESUVIUS,941057,VESUVIUS INDIA,2026-06-26
GAYAHWS,945409,GAYATRI HIGHWAYS,2026-06-26
VINDHYATEL,945665,VINDHYA TELELINKS,2026-06-26
VIPIND,947969,VIP INDUSTRIES,2026-06-26
VLSFINANCE,951041,VLS FINANCE,2026-06-26
